Id,SalePrice
1461,103232.45956665883
1462,161851.75151449325
1463,174842.11753773503
1464,191167.54167694598
1465,219898.66634213342
1466,185195.72206355585
1467,178872.97291630763
1468,177799.13308239751
1469,205578.37158055906
1470,100506.57454174338
1471,213972.67457340378
1472,114329.73342622723
1473,104323.89191301935
1474,168979.13795679435
1475,139877.95497043477
1476,328711.2106888357
1477,265179.0903701943
1478,295486.37536690873
1479,290162.7641977698
1480,397509.4729582397
1481,306146.1154920575
1482,235317.40917421202
1483,195219.2227707859
1484,195961.34657896985
1485,176582.20315387426
1486,215583.91063183197
1487,315056.9575164181
1488,268197.02244904847
1489,204724.37933906703
1490,209153.43780081184
1491,210800.6785691732
1492,95186.79907701211
1493,192406.04755027615
1494,289318.92599057266
1495,288702.17880239873
1496,228454.65450668242
1497,212340.87444611103
1498,175731.03397818236
1499,175992.3670329037
1500,160634.38028277503
1501,180026.47626056266
1502,165689.4006349016
1503,262386.3015347284
1504,242911.54568993323
1505,227621.8317750995
1506,225873.2678540377
1507,252977.61677626194
1508,209804.5816860306
1509,171865.0609575631
1510,150041.20749515877
1511,147815.60370564065
1512,177421.25933641754
1513,168300.82556315302
1514,183661.0340893413
1515,221175.18038634514
1516,159364.61466803472
1517,155244.59422884276
1518,182203.72483416577
1519,228507.92112032906
1520,126748.81442595297
1521,132845.0335015892
1522,184171.92272437108
1523,105799.7901547032
1524,107551.46754547069
1525,108284.83166685072
1526,111270.90458950796
1527,89083.4620123608
1528,144809.45838413108
1529,141649.92709602043
1530,187447.9837378573
1531,116308.83982354426
1532,84541.27861676854
1533,156855.74601811916
1534,143541.52980552358
1535,159993.34040094074
1536,119188.54951870325
1537,43944.87905287044
1538,193002.6811254283
1539,217103.7313102784
1540,152050.6540821239
1541,158378.5674331726
1542,154523.34009269043
1543,216031.77051775088
1544,62825.60423629847
1545,115078.76290564542
1546,128716.05851426488
1547,125357.38894847943
1548,139930.76098532625
1549,107595.88212105399
1550,142508.84755299077
1551,129172.75984621537
1552,143776.6812611008
1553,144209.82389763696
1554,135097.54201458744
1555,167857.58785520447
1556,101151.70301063755
1557,120198.4229143227
1558,103088.58033810393
1559,107612.80586948595
1560,143230.42295377073
1561,168345.17110197013
1562,115643.9076770423
